arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
B2 24H 2_png.rf.X8Z6nGLnH4ONbqM6CEpF.png,train,HUVEC,24,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.61227,54.95,0.726,796.54
B2 24H 2_png.rf.2B8Ciuc7mmIxPuHxOZLz.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||B2,Migração (PET e PEP) n3 - RAW,nativo,0.6351,37.42,0.5647,1326.65
B2 24H 2_png.rf.Q3DCFWxYj6laxcLJd6a0.png,train,HUVEC,24,LUIS RAW||PEP+MET3||B2,LUIS RAW,nativo,0.70037,144.65,0.7825,1481.38
B2 24H 2_png.rf.6K3bulaFjDpWKIXTUtMN.png,val,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B2,Migração (PET e PEP) n2 - RAW,nativo,0.6669,64.91,0.7814,1141.04
B6 8HR 2_png.rf.lL8VF3TnnS6JnU7Tc7Wa.png,train,HUVEC,8,Originais (1)||None||B6,Originais (1),nativo,0.63343,24.53,0.7394,1861.17
B6 8HR 2_png.rf.bHSaiKrngLQxd2WS4VGz.png,train,HUVEC,8,Controle+Saudavel||None||B6,Controle+Saudavel,nativo,0.67515,35.56,0.8338,3315.55
B6 8hr 2_png.rf.O9yXvhq4gJ67a56wZwzv.png,train,HUVEC,8,Controle+Saudavel||None||B6,Controle+Saudavel,640,0.61298,45.49,0.8165,1337.24
A2 8HR 2_png.rf.u3NMC3KSQZdSv2RTyFC5.png,train,HUVEC,8,Originais (1)||None||A2,Originais (1),nativo,0.69228,55.95,0.8423,3272.3
A2 8HR 2_png.rf.OPzk7PLhz0XXJ9whIGjz.png,train,HUVEC,8,originais||None||A2,originais,nativo,0.67248,45.5,0.8833,2865.43
C2 8H 2_png.rf.DMVAcxSLblieiwwMA22S.png,val,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||C2,Migração (PET e PEP) n3 - RAW,nativo,0.68387,115.15,0.8019,3820.53
C2 8H 2_png.rf.hIrLcZkOgk90yFawiPTB.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET||C2,Migração (PET e PEP) n2 - RAW,nativo,0.67078,59.97,0.8171,2962.1
C3 12H 2_png.rf.EZwf4Pv39ZyBeUX9Siot.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,nativo,0.59348,28.9,0.7412,646.56
C3 12H 2_png.rf.9BFyHnRYAWj09CUpjmbm.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,nativo,0.64775,76.91,0.7283,1853.49
C3 12H 2_png.rf.tExKdQ0xoYVj68ww6N50.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,nativo,0.62553,67.49,0.8255,1855.46
A1 8H 2_png.rf.Fg5j1LHwzHDaS3nDHYaG.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.64046,59.72,0.8274,1350.37
A1 8H 2_png.rf.o3mN54nakRmUHu9bcoEx.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.75367,81.72,0.957,4905.27
B3 12H 2_png.rf.NDVg6wiBvaIIXeGck2ha.png,val,HUVEC,12,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.7615,300.83,0.8172,5894.85
B3 12H 2_png.rf.j98jhElrKsmQ8U5bNLem.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.60381,32.83,0.5726,851.86
B3 12H 2_png.rf.5Jpy0eTyEFkYVLhRnY0H.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.67543,99.17,0.6658,2744.57
B3 12H 2_png.rf.VwsTMjoz5gMDEM6g8sEy.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.62999,77.92,0.83,1300.5
E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,test,HUVEC,24,LUIS RAW||PEP||E1,LUIS RAW,nativo,0.80914,218.51,0.7798,7020.34
B7 24H 1_png.rf.OtOpnukvsf6oYU6mqpLu.png,train,HUVEC,24,LUIS RAW||PEP+GB||B7,LUIS RAW,nativo,0.63326,155.43,0.7282,1704.59
B7 24h 1_png.rf.711fbkCM378FKfxwg6z1.png,train,HUVEC,24,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,640,0.67403,51.02,0.8657,1982.75
B7 24h 1_png.rf.5p9AHhSfxGprdyejHtqc.png,train,HUVEC,24,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,640,0.60837,42.44,0.8344,751.13
D1 8H 1_png.rf.AmYzGCscmIMNbZlAIVL4.png,test,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW,nativo,0.71575,89.87,0.5874,5355.69
D1 8H 1_png.rf.zbjZK9V0wwXONgH5gW3t.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D1,Migração (PET e PEP) n2 - RAW,nativo,0.66311,147.75,0.7471,3626.41
D1 8H 1_png.rf.6S1MX1FR4Rawy7SjqcqO.png,train,HUVEC,8,LUIS RAW||PET||D1,LUIS RAW,nativo,0.79345,278.63,0.7515,7323.3
C2 8H 1_png.rf.CgtKGglvZUo2NKAOhpkN.png,val,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||C2,Migração (PET e PEP) n3 - RAW,nativo,0.58608,54.39,0.753,676.69
C2 8H 1_png.rf.YcvorWt40mgqlkfFWa9p.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET||C2,Migração (PET e PEP) n2 - RAW,nativo,0.67462,52.15,0.7276,3388.86
A1 0H 2_png.rf.Ch9zsbnPPUewmwRQvgwK.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.6224,35.82,0.8275,1036.22
A1 0H 2_png.rf.zdc9javVRAONDqMECkcv.png,train,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.81113,34.13,1.0619,5229.47
C1 12H 1_png.rf.DBQsmm0tg6U59ZM4Ject.png,val,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||C1,Migração (PET e PEP) n3 - RAW,nativo,0.61415,24.32,0.67,667.68
C1 12H 1_png.rf.3MJj2LN3tzGOspcR3v0U.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET||C1,Migração (PET e PEP) n2 - RAW,nativo,0.62909,103.6,0.7401,1514.05
C1 12H 1_png.rf.3eaAz3o1S8lN2vN7cVFf.png,train,HUVEC,12,LUIS RAW||PET||C1,LUIS RAW,nativo,0.81057,232.46,0.8194,6473.18
D1 24H 1_png.rf.9St1pSdNBqUmYewNNUks.png,test,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW,nativo,0.63836,23.76,0.691,101.31
D1 24H 1_png.rf.OBD2OApvH8j8vOMik7pK.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D1,Migração (PET e PEP) n2 - RAW,nativo,0.64793,67.47,0.7272,2194.64
D2 12H 2_png.rf.ACOvW3ReDoIcqLBcUAWq.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,nativo,0.60317,40.45,0.7109,653.1
D2 12H 2_png.rf.asho9rO42U1YkLH8onj3.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,nativo,0.64619,54.64,0.7957,2367.93
Snap-28_png.rf.53e1fT3dOkKzOIbE7A2L.png,train,SKOV,0,P2|CARBO|F12,P2,nativo,0.86742,283.01,0.7855,10355.94
Snap-28_52_png.rf.DmC6ddQwMqlVy1m8BSG0.png,train,SKOV,48,P2|CARBO|F12,P2,nativo,0.86943,337.27,0.9406,7872.98
Snap-28_280_png.rf.Xe3kQDC14ewhHfBA8CUW.png,train,SKOV,72,P1|GEO|F8,P1,nativo,0.80626,289.95,0.9094,4171.18
Snap-28_126_png.rf.V9gVxGXcQuCpVJLB39Zx.png,val,SKOV,48,P1|PTX|F12,P1,nativo,0.8377,155.94,0.8897,7974.41
Snap-28_186_png.rf.Pxc3A3OicklntYPjiAag.png,val,SKOV,24,P1|PTX|F12,P1,nativo,0.86505,265.71,0.8936,9838.07
Snap-28_97_png.rf.XDLmTq2FjXvy3Vkcqds3.png,train,SKOV,24,P2|CARBO|F13,P2,nativo,0.78609,271.91,0.9162,6112.52
Snap-32_232_png.rf.H6ouoiFAv5Y1rFVDrWAl.png,train,SKOV,24,P1|GEO|F1,P1,nativo,0.80272,83.44,0.915,6923.99
Snap-32_172_png.rf.v8kSqKvdYhYnQPNDX2xH.png,train,SKOV,48,P1|GEO|F1,P1,nativo,0.81753,103.88,0.9249,5620.33
Snap-32_278_png.rf.nLijQDvNEE80IhapSa8o.png,val,SKOV,72,P1|GEO|F12,P1,nativo,0.8589,389.89,0.9364,2829.86
Snap-32_83_png.rf.zimIKCDN8Am3qdwGC4kR.png,val,SKOV,24,P2|GEO|F1,P2,nativo,0.76431,285.95,0.9346,5575.8
Snap-32_38_png.rf.Bax0fFvBhSAiX72iQPds.png,train,SKOV,48,P2|GEO|F2,P2,nativo,0.78891,97.45,0.9315,5908.36
Snap-32_png.rf.gnPsOfWEBlQ88rOXjxL2.png,val,SKOV,0,P2|GEO|F1,P2,nativo,0.93886,222.03,0.7762,11150.26
B4 8H 2_png.rf.JLOE0R7PHObSGtKZkOIy.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B4,Migração (PET e PEP) n3 - RAW,nativo,0.75617,112.59,0.728,5175.76
B4 8H 2_png.rf.eb7KTH0SjX0wu1Kt3RMo.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP||B4,Migração (PET e PEP) n1 - RAW,nativo,0.62465,39.6,0.6622,1823.13
B4 8H 2_png.rf.sBbuiEVhnnULLBzNf5UU.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B4,Migração (PET e PEP) n2 - RAW,nativo,0.62294,59.95,0.8352,1865.57
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,test,HUVEC,8,LUIS RAW||PEP+MCC||B4,LUIS RAW,nativo,0.74415,378.46,0.8365,5249.94
D4 12H 2_png.rf.JoRndEJA1lep3hprLUOS.png,test,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D4,Migração (PET e PEP) n3 - RAW,nativo,0.63247,29.29,0.5406,716.7
D4 12H 2_png.rf.oo3BzL9sz02jNfhjhBSz.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D4,Migração (PET e PEP) n2 - RAW,nativo,0.77613,69.27,0.8035,6462.11
D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,test,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW,nativo,0.62365,39.71,0.6747,1104.66
A4 8HR 1_png.rf.zapxIcIaLMQGJ9HbDNKV.png,train,HUVEC,8,Originais (1)||None||A4,Originais (1),nativo,0.66597,74.94,0.8072,2609.8
A4 8HR 1_png.rf.Oh3iZV03y0zaBFvuM0HD.png,train,HUVEC,8,originais||None||A4,originais,nativo,0.69607,74.66,0.7837,3792.63
Snap-29_183_png.rf.TEtTesrejABE2zAfrCRO.png,train,SKOV,24,P1|PTX|F13,P1,nativo,0.84759,121.06,0.8931,10697.6
Snap-29_275_png.rf.XkckzJWNljmGBj0JLo7I.png,train,SKOV,72,P1|GEO|F9,P1,nativo,0.788,408.34,0.9566,3908.58
Snap-29_png.rf.HhjvWugqHNOuxEUR80xT.png,train,SKOV,0,P2|CARBO|F13,P2,nativo,0.83015,140.5,0.7994,9739.47
Snap-29_123_png.rf.VWdEayiXaSZj0sRvU9Lh.png,train,SKOV,48,P1|PTX|F13,P1,nativo,0.83441,208.09,0.8709,9522.64
Snap-29_94_png.rf.qaT0a4MOXWeFqaJqDMsT.png,train,SKOV,24,P2|CARBO|F14,P2,nativo,0.83013,114.55,0.8784,8676.36
Snap-29_49_png.rf.sO8t65IvPbrmOmeTdSFp.png,train,SKOV,48,P2|CARBO|F13,P2,nativo,0.81814,127.27,0.9013,8088.55
Snap-31_40_png.rf.MlgkW5XJAczCgefQquEJ.png,val,SKOV,48,P2|GEO|F1,P2,nativo,0.81485,180.6,0.9145,6350.77
Snap-31_281_png.rf.HrwVzS03qTHBX5RB7awf.png,test,SKOV,72,P1|GEO|F11,P1,nativo,0.80353,428.73,0.9399,2278.2
D4 0H 1_png.rf.FutNJ1bcHBCTMEvRlEBr.png,test,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||D4,Migração (PET e PEP) n3 - RAW,nativo,0.64484,102.46,0.6978,2173.68
D4 0H 1_png.rf.7IFP3MwTGMviOOsMWWnv.png,train,HUVEC,0,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D4,Migração (PET e PEP) n2 - RAW,nativo,0.56128,73.54,0.6843,694.79
D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png,test,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW,nativo,0.65577,59.98,1.0174,1419.13
B5 24h 1_png.rf.eRMLDgcaTXW0RnafPtxO.png,train,HUVEC,24,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,640,0.63574,78.08,0.8738,1937.77
B5 24h 1_png.rf.KqK0yeM8f5TSNBY037vO.png,train,HUVEC,24,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,640,0.63779,54.59,0.8875,1233.71
B5 24H 1_png.rf.v4xzVz9xWcYuAyRBEFK6.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP||B5,Migração (PET e PEP) n1 - RAW,nativo,0.71968,87.15,0.6773,3021.75
B5 24H 1_png.rf.8BLfMU53TgFR8c7rKbxk.png,val,HUVEC,24,LUIS RAW||PEP||B5,LUIS RAW,nativo,0.70628,181.96,0.7618,2702.77
C4 24HR 1_png.rf.eIMMU5GPoFUXukXzzpRq.png,train,HUVEC,24,Originais (1)||None||C4,Originais (1),nativo,0.68809,46.52,0.6908,3865.76
ptx3_4_png.rf.zUAP19LA8H9wE86pzDel.png,train,SKOV,0,P1|PTX|F14,P1,nativo,0.91824,175.37,0.8967,13219.25
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,test,HUVEC,12,Originais (1)||None||A5,Originais (1),nativo,0.67223,35.56,0.8134,1935.91
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,test,HUVEC,12,originais||None||A5,originais,nativo,0.80944,161.55,0.8727,7834.01
C3 12HR 2_png.rf.zgyiXq2ugB20KJ4MV7F7.png,train,HUVEC,12,Originais (1)||None||C3,Originais (1),nativo,0.69893,42.55,0.8456,5078.43
Snap-04_23_png.rf.1BJgEenRWx1JWIEQf9Lv.png,train,SKOV,48,P2|CT|F4,P2,nativo,0.70448,48.11,0.9314,4985.22
Snap-04_142_png.rf.M2wnhWd1Sd8Ifvp6QzaX.png,train,SKOV,48,P1|CT|F4,P1,nativo,0.80682,130.27,0.9041,5192.84
Snap-04_202_png.rf.NR0kpfukSEnlSMYMSLQj.png,train,SKOV,24,P1|CT|F3,P1,nativo,0.76575,68.08,0.8849,5800.55
Snap-04_png.rf.sMGktY9BFWuJUYIgaqQM.png,train,SKOV,0,P2|CT|F3,P2,nativo,0.87654,67.94,0.8943,11367.02
Snap-04_68_png.rf.qa33swNedVvsWNkINBRJ.png,train,SKOV,24,P2|CT|F4,P2,nativo,0.70252,78.4,0.8711,4827.72
A8 12HR 1_png.rf.xRg914oD9uiAFvSCIuM5.png,train,HUVEC,12,Originais (1)||None||A8,Originais (1),nativo,0.68028,52.68,0.7837,2688.22
A8 12HR 1_png.rf.S0EDn8crl6auGSHhKnlu.png,train,HUVEC,12,originais||None||A8,originais,nativo,0.80609,78.23,0.7841,7696.12
Snap-05_199_png.rf.6Q1Bw549TYJ3y3mfuvz8.png,train,SKOV,24,P1|CT|F4,P1,nativo,0.74027,91.89,0.9456,4687.29
Snap-05_65_png.rf.DoDrkBOFzLTZlfhsvn9K.png,train,SKOV,24,P2|CT|F5,P2,nativo,0.62754,68.37,0.8741,1639.91
Snap-05_139_png.rf.niBpFx50l8Vf2AVZYkEa.png,train,SKOV,48,P1|CT|F5,P1,nativo,0.73917,147.53,0.9862,3412.88
Snap-05_png.rf.wkFRpHndlLEZ8vXfITkh.png,train,SKOV,0,P2|CT|F4,P2,nativo,0.91771,59.35,0.9206,12926.6
Snap-05_20_png.rf.0ZVYxRfLCmMj9Gx6Z8HM.png,train,SKOV,48,P2|CT|F5,P2,nativo,0.76096,45.74,0.8946,6282.82
B2 12H 2_png.rf.YYY5vUirwJPSMny2nvl3.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||B2,Migração (PET e PEP) n3 - RAW,nativo,0.72571,63.25,0.5913,3287.34
B2 12H 2_png.rf.FzXZIgC2qgWNJeU50fSK.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B2,Migração (PET e PEP) n2 - RAW,nativo,0.63561,66.52,0.8259,1561.32
C3 8H 1_png.rf.aUtWxOp3N6x2Sm6L3Pxy.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,nativo,0.65897,74.94,0.5846,2870.63
C3 8H 1_png.rf.ifkP9o7aasJYjCRBwRMd.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,nativo,0.63559,56.33,0.7618,1381.42
C3 8H 1_png.rf.zcpxPqNmc4P4JnYSdW6p.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,nativo,0.62727,52.13,0.7779,2036.25
D2 0H 2_png.rf.Dp47CnjPtc2Ypjhgjlpy.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,nativo,0.68592,79.56,0.8202,3019.61
D2 0H 2_png.rf.aFJ3evuMPh4bmQ6vObzi.png,val,HUVEC,0,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,nativo,0.60506,62.7,0.6131,878.58
B3 0H 1_png.rf.GfdZamns9A85dmpsncQd.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.64334,33.26,0.6756,697.6
B3 0H 1_png.rf.VOvR3gkaIxZfUxZn7iWW.png,val,HUVEC,0,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.74625,539.06,0.7735,6120.02
B3 0H 1_png.rf.TvmtLMFiWafJEYHH5ahW.png,train,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.73608,120.38,0.893,5413.14
B3 0H 1_png.rf.wXF2WuHXbUH1hjCwk5QU.png,train,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.67422,162.61,0.6984,3858.56
A1 0H 1_png.rf.HD2oRQ2kZkfx6TVBCwb0.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.60646,61.46,0.8138,1941.26
A1 0H 1_png.rf.eIu9T8KjhRT5idIu84ug.png,train,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.81967,61.57,0.9975,7768.27
A1 0H 1_png.rf.deuEZnvxVEhdzYi1BbRS.png,train,HUVEC,0,LUIS RAW||PEP||A1,LUIS RAW,nativo,0.69221,382.82,0.7965,4270.3
C1 8H 1_png.rf.Kgxxv8FeePOy1Zd5HuuB.png,val,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||C1,Migração (PET e PEP) n3 - RAW,nativo,0.61872,32.68,0.696,1530.85
C1 8H 1_png.rf.mj0lbrvKisdrUxG9vQnG.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET||C1,Migração (PET e PEP) n2 - RAW,nativo,0.64885,145.76,0.7411,2627.85
C1 8H 1_png.rf.Ay4yt6ak3p7WdjXvlv87.png,train,HUVEC,8,LUIS RAW||PET||C1,LUIS RAW,nativo,0.75759,507.47,0.7375,6997.68
A2 12H 1_png.rf.KiET7Y5y6SYnGfA5kvLD.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||A2,Migração (PET e PEP) n3 - RAW,nativo,0.62851,36.95,0.5449,929.99
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,test,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW,nativo,0.73076,101.07,0.7129,5364.56
A2 12H 1_png.rf.OJIVQFhGNFY1jVusUDR3.png,train,HUVEC,12,LUIS RAW||PEP+MET3||A2,LUIS RAW,nativo,0.76032,350.03,0.8356,6041.46
B3 0HR 1_png.rf.ywI9JUlQUWMjhvBhIXSD.png,train,HUVEC,0,originais||None||B3,originais,nativo,0.64286,51.23,0.849,1509.19
B3 0HR 1_png.rf.w38HSO6SfUXeo4hLFscR.png,train,HUVEC,0,Originais (1)||None||B3,Originais (1),nativo,0.67973,63.46,0.7304,4104.89
B3 8H 1_png.rf.KsM3VfYU1XJ2B5xCPglb.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.6372,38.01,0.6633,1578.32
B3 8H 1_png.rf.lHJeoP7Yhjzr6KYBPoRz.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.60985,55.94,0.7138,1828.0
B3 8H 1_png.rf.omgWK7mobEFIqpuUgMv3.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.69927,129.85,0.7274,4363.95
B3 8H 1_png.rf.P5wqKYFj2eE6zpNU0fkw.png,val,HUVEC,8,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.70441,508.54,0.8006,4853.13
Snap-06_147_png.rf.GD6EP0bfiqbQELx2DbXk.png,train,SKOV,48,P1|CT|F6,P1,nativo,0.80969,103.18,0.9461,6248.54
Snap-06_28_png.rf.B16Hi9B61ihSVrFqD8EM.png,val,SKOV,48,P2|CT|F6,P2,nativo,0.709,36.2,0.9145,3648.71
Snap-06_251_png.rf.RTJFsjqwbqP4Ma6aageY.png,train,SKOV,72,P1|PTX|F1,P1,nativo,0.87265,283.2,0.9808,9194.38
Snap-06_207_png.rf.m5JajGmMom6qRqZWTY3C.png,train,SKOV,24,P1|CT|F5,P1,nativo,0.76241,130.94,0.9197,6446.74
A5 12H 1_png.rf.Q2XHkY7lrdRjrWzwNsuW.png,val,HUVEC,12,LUIS RAW||PEP||A5,LUIS RAW,nativo,0.75776,268.46,0.8785,5600.37
D4 12H 1_png.rf.9BeWOTfVwMn3ywdSyPmt.png,test,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D4,Migração (PET e PEP) n3 - RAW,nativo,0.71339,57.65,0.5353,3102.84
D4 12H 1_png.rf.UCilzmx4bAo3sipEh0TZ.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D4,Migração (PET e PEP) n2 - RAW,nativo,0.61874,84.17,0.8131,1488.17
D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,test,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW,nativo,0.65317,64.87,0.6199,1652.2
C4 24HR 2_png.rf.dcfkjKvMtdDN2O5gEqvU.png,train,HUVEC,24,Originais (1)||None||C4,Originais (1),nativo,0.74389,59.02,0.8472,6143.54
Snap-03_16_png.rf.8FYQJMkw0jfVRFMq4naV.png,train,SKOV,48,P2|CT|F3,P2,nativo,0.70792,55.49,0.9271,3681.87
Snap-03_135_png.rf.86k5Vru6ipllZqtNKdG2.png,train,SKOV,48,P1|CT|F3,P1,nativo,0.82798,267.93,0.9498,5541.17
Snap-03_254_png.rf.BtyeXVgh2zc19JcqpFCK.png,train,SKOV,72,P1|CT|F3,P1,nativo,0.82399,186.72,0.9544,4901.14
Snap-03_61_png.rf.1FYqRGNLJIklJ5YdlPHa.png,train,SKOV,24,P2|CT|F3,P2,nativo,0.69496,58.34,0.9216,3643.33
Snap-03_png.rf.v38nE8mp2K7iYYSbvq0E.png,train,SKOV,0,P2|CT|F2,P2,nativo,0.87457,75.31,0.8958,11703.37
Snap-03_195_png.rf.YYuGBJMJvk1Uc2AUOhKN.png,val,SKOV,24,P1|CT|F2,P1,nativo,0.79046,281.65,0.9092,6059.36
F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,test,HUVEC,8,LUIS RAW||PET||F2,LUIS RAW,nativo,0.79854,300.99,0.8074,8337.38
Snap-02_196_png.rf.BKEbI8Gj7FVgCYPUSi9g.png,train,SKOV,24,P1|CT|F1,P1,nativo,0.74505,81.69,0.9301,4762.03
Snap-02_255_png.rf.JaJ4bou8Ic3AaIPtCfZV.png,val,SKOV,72,P1|CT|F2,P1,nativo,0.84411,187.18,0.9527,5323.7
Snap-02_png.rf.HnokE69U5U658bYwvUrm.png,val,SKOV,0,P2|CT|F1,P2,nativo,0.90176,60.15,0.9148,12249.23
Snap-02_62_png.rf.K7PjQ8CqA8XVhNTW659F.png,train,SKOV,24,P2|CT|F2,P2,nativo,0.73039,70.42,0.9455,4043.01
Snap-02_17_png.rf.Lpe2QyqaZsGgJFeCYcvT.png,train,SKOV,48,P2|CT|F2,P2,nativo,0.76154,51.64,0.9317,4887.58
Snap-02_136_png.rf.m6MHqhz3vjy6x2KcsX7N.png,val,SKOV,48,P1|CT|F2,P1,nativo,0.78111,98.27,0.9931,4745.64
B3 12H 1_png.rf.K1xrQbmhbAmhHzuNkKJj.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.62616,36.27,0.5608,742.37
B3 12H 1_png.rf.1lPHPBmz2RT2aHQDRS5u.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.65046,83.65,0.6967,2657.65
B3 12H 1_png.rf.uBc16RzdSW9jA36NDqQV.png,val,HUVEC,12,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.74664,224.63,0.7995,5715.23
B3 12H 1_png.rf.tJNj0szl1RrlZo4qYD4w.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.61578,63.56,0.907,1583.61
B2 8H 2_png.rf.ZKeiVD67Jac52yXARTr0.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B2,Migração (PET e PEP) n3 - RAW,nativo,0.60398,55.31,0.7817,1375.59
